Eil. Nr.,Pavadinimas,,,,Iš viso (tūkst. Eur)
1.,MOKESČIAI (2+3+7),,,,"178.870,0"
2.,Gyventojų pajamų mokestis,,,,"162.100,0"
3.,Turto mokesčiai (4+5+6),,,,"16.160,0"
4.,Žemės mokestis,,,,"1.500,0"
5.,Paveldimo turto mokestis,,,,"160,0"
6.,Nekilnojamojo turto mokestis,,,,"14.500,0"
7.,Prekių ir paslaugų mokesčiai (8),,,,"610,0"
8.,Mokesčiai už aplinkos teršimą,,,,"610,0"
9.,KITOS PAJAMOS (10+14+20+21+22),,,,"28.119,9"
10.,Turto pajamos (11+12+13),,,,"4.410,0"
11.,Dividendai,,,,"1.500,0"
12.,Nuomos mokestis už valstybinę žemę,,,,"2.800,0"
13.,Mokesčiai už valstybinius gamtos išteklius,,,,"110,0"
14.,Pajamos už prekes ir paslaugas (15+16+17+18+19),,,,"17.679,9"
15.,Pajamos už prekes ir paslaugas,,,,"1.620,9"
16.,Pajamos už ilgalaikio ir trumpalaikio materialiojo turto nuomą,,,,"3.273,4"
17.,"Įmokos už išlaikymą švietimo, socialinės apsaugos ir kitose įstaigose",,,,"6.331,6"
18.,Valstybinė rinkliava,,,,"224,0"
19.,Vietinė rinkliava,,,,"6.230,0"
20.,Pajamos iš baudų ir konfiskacijos,,,,"130,0"
21.,Kitos neišvardytos pajamos,,,,"150,0"
22.,Materialiojo ir nematerialiojo turto realizavimo pajamos,,,,"5.750,0"
23.,IŠ VISO (1+9),,,,"206.989,9"
24.,DOTACIJOS (25+26+27+28+29+30+31+32),,,,"82.138,1"
25.,Iš apskričių perduotoms įstaigoms išlaikyti,,,,"2.193,8"
26.,Ugdymo reikmėms finansuoti,,,,"69.123,8"
27.,"Savivaldybės švietimo įstaigų klasėms, skirtoms mokiniams, turintiems specialiųjų ugdymosi poreikių, išlaikyti",,,,"116,0"
28.,Valstybinėms (valstybės perduotoms savivaldybėms) funkcijoms atlikti,,,,"8.710,4"
29.,"Mokytojų, dirbančių pagal neformaliojo vaikų švietimo programas mokyklose, kurios yra priskirtos Lietuvos Respublikos švietimo įstatymo 41 straipsnio 13 dalies 2 punkte nurodytoms mokyklų grupėms ir kurių teisinė forma yra biudžetinė įstaiga, darbui apmokėti",,,,"306,3"
30.,Programai „Europos kultūros sostinė 2022“ finansuoti,,,,"500,0"
31.,Europos Sąjungos ir kitos tarptautinės finansinės paramos lėšos ,,,,"1.087,8"
32.,"Projektui ,,Kauno Maironio universitetinės gimnazijos pastato Kaune, Gimnazijos g. 3, rekonstravimas“ finansuoti",,,,"100,0"
33.,"IŠ VISO MOKESČIŲ, DOTACIJŲ IR PAJAMŲ (23+24)",,,,"289.128,0"
34.,Finansinių įsipareigojimų prisiėmimo (skolinimosi) pajamos,,,,"14.056,0"
35.,Biudžeto lėšų likutis,,,,"23.974,5"
36.,IŠ VISO (33+34+35),,,,"327.158,5"
